num_layers,num_epochs,batch_size,test_loss
10,20,10,0.011248920112848282
10,20,20,0.01703340746462345
10,20,30,0.019995572045445442
10,20,40,0.012660191394388676
10,20,50,0.018829576671123505
10,20,60,0.023781929165124893
10,20,70,0.0323747880756855
10,20,80,0.028782889246940613
10,20,90,0.017524367198348045
10,20,100,0.0389157272875309
10,30,10,0.010918752290308475
10,30,20,0.012116195634007454
10,30,30,0.011807008646428585
10,30,40,0.015794767066836357
10,30,50,0.013463359326124191
10,30,60,0.02088911458849907
10,30,70,0.012484335340559483
10,30,80,0.021590085700154305
10,30,90,0.018572945147752762
10,30,100,0.019279949367046356
10,40,10,0.01139465719461441
10,40,20,0.009023924358189106
10,40,30,0.00947381928563118
10,40,40,0.013920130208134651
10,40,50,0.017342068254947662
10,40,60,0.01372101716697216
10,40,70,0.014915592037141323
10,40,80,0.016637630760669708
10,40,90,0.018816059455275536
10,40,100,0.01711525209248066
10,50,10,0.009111662395298481
10,50,20,0.010130336508154869
10,50,30,0.010006467811763287
10,50,40,0.013221198692917824
10,50,50,0.012521358206868172
10,50,60,0.013854317367076874
10,50,70,0.012141984887421131
10,50,80,0.016306506469845772
10,50,90,0.01373137068003416
10,50,100,0.014174778945744038
10,60,10,0.0072701615281403065
10,60,20,0.010974195785820484
10,60,30,0.011584125459194183
10,60,40,0.008897551335394382
10,60,50,0.009484180249273777
10,60,60,0.014550942927598953
10,60,70,0.013341717422008514
10,60,80,0.012545480392873287
10,60,90,0.014476901851594448
10,60,100,0.028425194323062897
10,70,10,0.009595525451004505
10,70,20,0.008843431249260902
10,70,30,0.008247644640505314
10,70,40,0.009755566716194153
10,70,50,0.009042618796229362
10,70,60,0.011797670274972916
10,70,70,0.014889129437506199
10,70,80,0.01185647677630186
10,70,90,0.01828085631132126
10,70,100,0.01327291689813137
10,80,10,0.006342707667499781
10,80,20,0.008952479809522629
10,80,30,0.009531501680612564
10,80,40,0.01053941436111927
10,80,50,0.010568207129836082
10,80,60,0.010665252804756165
10,80,70,0.011089090257883072
10,80,80,0.010133941657841206
10,80,90,0.011271242052316666
10,80,100,0.01605202630162239
10,90,10,0.006602033041417599
10,90,20,0.007343500852584839
10,90,30,0.00929529033601284
10,90,40,0.01118928287178278
10,90,50,0.010961104184389114
10,90,60,0.008414884097874165
10,90,70,0.011120745912194252
10,90,80,0.012939149513840675
10,90,90,0.013124501332640648
10,90,100,0.010861446149647236
10,100,10,0.005985470023006201
10,100,20,0.007095306646078825
10,100,30,0.0075688050128519535
10,100,40,0.009709840640425682
10,100,50,0.01252790354192257
10,100,60,0.008965588174760342
10,100,70,0.008819418027997017
10,100,80,0.011090517044067383
10,100,90,0.009767033159732819
10,100,100,0.012364030815660954
10,110,10,0.008080379106104374
10,110,20,0.007599430158734322
10,110,30,0.009901725687086582
10,110,40,0.008688723668456078
10,110,50,0.009464972652494907
10,110,60,0.008748909458518028
10,110,70,0.010772834531962872
10,110,80,0.009010466746985912
10,110,90,0.014337364584207535
10,110,100,0.01025230810046196
10,120,10,0.006653334014117718
10,120,20,0.00840683002024889
10,120,30,0.008668992668390274
10,120,40,0.010186007246375084
10,120,50,0.008297578431665897
10,120,60,0.011936018243432045
10,120,70,0.008929071947932243
10,120,80,0.011282452382147312
10,120,90,0.010346997529268265
10,120,100,0.010343614034354687
10,130,10,0.005885622929781675
10,130,20,0.007594921160489321
10,130,30,0.007305682636797428
10,130,40,0.007234612014144659
10,130,50,0.008223186247050762
10,130,60,0.010928293690085411
10,130,70,0.008879653178155422
10,130,80,0.007829844020307064
10,130,90,0.007726576179265976
10,130,100,0.007582006976008415
10,140,10,0.0061445338651537895
10,140,20,0.005748947151005268
10,140,30,0.006417201366275549
10,140,40,0.00745271285995841
10,140,50,0.008229638449847698
10,140,60,0.007895581424236298
10,140,70,0.00678792130202055
10,140,80,0.008158771321177483
10,140,90,0.009663796983659267
10,140,100,0.013749153353273869
10,150,10,0.005828137043863535
10,150,20,0.006736943498253822
10,150,30,0.007465592585504055
10,150,40,0.007738382089883089
10,150,50,0.009593334048986435
10,150,60,0.009716778062283993
10,150,70,0.009871532209217548
10,150,80,0.008569356054067612
10,150,90,0.010655814781785011
10,150,100,0.009672179818153381
10,160,10,0.005640426184982061
10,160,20,0.0060184127651154995
10,160,30,0.00659434637054801
10,160,40,0.0100273247808218
10,160,50,0.009527765214443207
10,160,60,0.009844064712524414
10,160,70,0.010276497341692448
10,160,80,0.008232992142438889
10,160,90,0.008724890649318695
10,160,100,0.008534714579582214
10,170,10,0.005612669512629509
10,170,20,0.007666278630495071
10,170,30,0.006952136754989624
10,170,40,0.007784083019942045
10,170,50,0.008132679387927055
10,170,60,0.007576466538012028
10,170,70,0.010492250323295593
10,170,80,0.007315268740057945
10,170,90,0.009206105023622513
10,170,100,0.013450108468532562
10,180,10,0.006712648551911116
10,180,20,0.008614055812358856
10,180,30,0.007954849861562252
10,180,40,0.007509253453463316
10,180,50,0.007636690512299538
10,180,60,0.007053783629089594
10,180,70,0.008796478621661663
10,180,80,0.008037625811994076
10,180,90,0.007109213154762983
10,180,100,0.008428138680756092
10,190,10,0.005999494343996048
10,190,20,0.006670793984085321
10,190,30,0.007172214332967997
10,190,40,0.005810514558106661
10,190,50,0.007518919184803963
10,190,60,0.008380941115319729
10,190,70,0.008910045959055424
10,190,80,0.0084168566390872
10,190,90,0.0081928800791502
10,190,100,0.01046660728752613
10,200,10,0.007951656356453896
10,200,20,0.006931141950190067
10,200,30,0.00813126377761364
10,200,40,0.0057106027379632
10,200,50,0.009341472759842873
10,200,60,0.007998034358024597
10,200,70,0.006651159841567278
10,200,80,0.007706695701926947
10,200,90,0.01018175296485424
10,200,100,0.008835441432893276
20,20,10,0.00854448787868023
20,20,20,0.00932998675853014
20,20,30,0.009113882668316364
20,20,40,0.01144494116306305
20,20,50,0.012967287562787533
20,20,60,0.013810569420456886
20,20,70,0.012574088759720325
20,20,80,0.015863336622714996
20,20,90,0.01806878298521042
20,20,100,0.019918294623494148
20,30,10,0.009551353752613068
20,30,20,0.010999234393239021
20,30,30,0.009722525253891945
20,30,40,0.012913959100842476
20,30,50,0.015474390238523483
20,30,60,0.011296229436993599
20,30,70,0.014119327999651432
20,30,80,0.01331747230142355
20,30,90,0.012065778486430645
20,30,100,0.013261294923722744
20,40,10,0.007351571228355169
20,40,20,0.009000269696116447
20,40,30,0.008826863020658493
20,40,40,0.009268589317798615
20,40,50,0.009371139109134674
20,40,60,0.009578732773661613
20,40,70,0.012355398386716843
20,40,80,0.012066065333783627
20,40,90,0.012694820761680603
20,40,100,0.014771820046007633
20,50,10,0.007861645892262459
20,50,20,0.008496343158185482
20,50,30,0.007933290675282478
20,50,40,0.008278963156044483
20,50,50,0.011532779783010483
20,50,60,0.010469796136021614
20,50,70,0.008334112353622913
20,50,80,0.010237866081297398
20,50,90,0.010293154045939445
20,50,100,0.010365950874984264
20,60,10,0.007101224735379219
20,60,20,0.00841523241251707
20,60,30,0.008073858916759491
20,60,40,0.009844759479165077
20,60,50,0.008897785097360611
20,60,60,0.01054382137954235
20,60,70,0.00904686376452446
20,60,80,0.008705031126737595
20,60,90,0.009604071266949177
20,60,100,0.01032835990190506
20,70,10,0.006994359195232391
20,70,20,0.007509758695960045
20,70,30,0.008202741853892803
20,70,40,0.008113621734082699
20,70,50,0.008264390751719475
20,70,60,0.008074532262980938
20,70,70,0.008295232430100441
20,70,80,0.007803172338753939
20,70,90,0.008373800665140152
20,70,100,0.014100279659032822
20,80,10,0.005677168723195791
20,80,20,0.00796634890139103
20,80,30,0.007519409991800785
20,80,40,0.008031864650547504
20,80,50,0.007295547518879175
20,80,60,0.00758505892008543
20,80,70,0.008636999875307083
20,80,80,0.008920150808990002
20,80,90,0.009603387676179409
20,80,100,0.010472116060554981
20,90,10,0.00847683660686016
20,90,20,0.006540389731526375
20,90,30,0.007057725451886654
20,90,40,0.00767730874940753
20,90,50,0.007782042026519775
20,90,60,0.0078849783167243
20,90,70,0.009738997556269169
20,90,80,0.009916330687701702
20,90,90,0.008730711415410042
20,90,100,0.010202866047620773
20,100,10,0.005883425008505583
